both,Word,Points,Longword,,both,Word2,Points2,Longword2
bias(2),bias,2,,,balm(2),balm,2,
ragi(2),ragi,2,,,ilea(2),ilea,2,
gabs(2),gabs,2,,,laic(2),laic,2,
rins(2),rins,2,,,mica(2),mica,2,
nisi(2),nisi,2,,,lima(2),lima,2,
garb(2),garb,2,,,pail(2),pail,2,
iris(2),iris,2,,,bell(2),bell,2,
bags(2),bags,2,,,blam(2),blam,2,
rias(2),rias,2,,,limb(2),limb,2,
gibs(2),gibs,2,,,bima(2),bima,2,
arcs(2),arcs,2,,,amia(2),amia,2,
cabs(2),cabs,2,,,clip(2),clip,2,
scab(2),scab,2,,,mall(2),mall,2,
banc(2),banc,2,,,mile(2),mile,2,
rags(2),rags,2,,,mice(2),mice,2,
carb(2),carb,2,,,lime(2),lime,2,
bigs(2),bigs,2,,,call(2),call,2,
xxx,xxx,0,,,bill(2),bill,2,
xxx,xxx,0,,,came(2),came,2,
xxx,xxx,0,,,calm(2),calm,2,
xxx,xxx,0,,,amie(2),amie,2,
xxx,xxx,0,,,alma(2),alma,2,
xxx,xxx,0,,,mell(2),mell,2,
xxx,xxx,0,,,cell(2),cell,2,
xxx,xxx,0,,,epic(2),epic,2,
xxx,xxx,0,,,xxx,xxx,0,
